Issuer,Ticker,Coupon,Maturity,Issue Date,ISIN,Preferred RIC,Principal Currency,Country of Issue,Issuer Type,Instrument Type,Coupon Type,Amount Issued (USD),Bond Grade,Green Bond,Sector,TRBC Sector,Country of Incorporation,SIC,Use of Proceeds,IsPublic,First Announcement Date
Iberdrola International BV,IBERD,3.25,,2019-02-12,XS1890845875,ES189084587=,Euro,Eurobond Market,Corporate,Bond,Fixed Resettable,945358290,Investment Grade,Yes,Financial - Other,Electric Utilities (NEC),Netherlands,6726,Energy Efficiency,False,2019-02-05
Xinjiang Goldwind Science & Technology Co Ltd,XINGO,4.2,,2016-09-01,CND10000C3L5,CN131656002=,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,73206442,,Yes,Electronics,Wind Systems & Equipment,China (Mainland),3511,Alternative Energy,True,2016-09-01
Ac Energy Finance International Ltd,ACFTE,5.65,,2019-12-04,XS2082433736,KY208243373=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,400000000,,Yes,Financial - Other,Corporate Financial Services (NEC),Cayman Islands,6799,Energy Efficiency,False,2019-11-26
CGN Wind Energy Ltd,SASABZ,5.25,,2017-09-14,CND100017CJ8,CN131751002=,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,146412884,,Yes,Utility - Other,Electric Utilities (NEC),China (Mainland),4911,Eligible Green Projects,False,2017-09-08
CGN Wind Energy Ltd,SASABZ,4.31,,2019-01-07,CND10001WQ91,CN131900001=,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,146412884,,Yes,Utility - Other,Electric Utilities (NEC),China (Mainland),4911,Electric & Public Power,False,2019-01-02
Citycon Oyj,CTYAS,4.496,,2019-11-22,XS2079413527,FI207941352=,Euro,Eurobond Market,Corporate,Note,Fixed Resettable,413594252,High Yield,Yes,Retail Stores - Other,Retail Real Estate Rental & Development,Finland,5999,Clean Transport,True,2019-11-18
Engie SA,ENGIE,1.375,,2018-01-16,FR0013310505,FR0013310505=,Euro,France,Corporate,Capital Security,Fixed Resettable,1181697863,Investment Grade,Yes,Oil and Gas,Multiline Utilities,France,4925,Energy Efficiency,True,2018-01-10
Beijing Enterprises Water Group China Investment Co Ltd,BJEWGC,3.7,,2016-10-31,CND100017C17,CN131651001=,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,409956076,,Yes,Service - Other,Water Supply & Irrigation Systems,China (Mainland),4941,Sustainable Water,False,2016-10-26
Iberdrola International BV,IBERD,1.875,,2017-11-22,XS1721244371,ES172124437=,Euro,Eurobond Market,Corporate,Note,Fixed Resettable,1181697863,Investment Grade,Yes,Financial - Other,Electric Utilities (NEC),Netherlands,6726,Energy Efficiency,False,2017-11-15
TenneT Holding BV,TNETH,2.995,,2017-04-12,XS1591694481,NL159169448=,Euro,Eurobond Market,Corporate,Note,Fixed Resettable,1181697863,Investment Grade,Yes,Utility - Other,Electrical Transmission & Grid Equipment,Netherlands,4931,Alternative Energy,False,2017-03-29
Iberdrola International BV,IBERD,2.625,,2018-03-26,XS1797138960,ES179713896=,Euro,Eurobond Market,Corporate,Note,Fixed Resettable,827188504,Investment Grade,Yes,Financial - Other,Electric Utilities (NEC),Netherlands,6726,Energy Efficiency,False,2018-03-19
Xinjiang Goldwind Science & Technology Co Ltd,XINGO,5,,2016-05-24,CND10000C3M3,CN131656001=,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,146412884,,Yes,Electronics,Wind Systems & Equipment,China (Mainland),3511,Energy Efficiency,True,2016-05-23
Bank of Baroda Ltd,BOB,8.5,,2016-12-02,INE028A08083,INBOBPPH=,Indian Rupee,India,Corporate,Bond,Plain Vanilla Fixed Coupon,136158161,,Yes,Banking,Banks (NEC),India,6022,General Purpose,True,2016-12-01
Yiwu State owned Capital Operation Co Ltd,YIWUGO,6.27,,2018-04-10,CND1000163S9,CN131800008=,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,102489019,,Yes,Financial - Other,"Real Estate Rental, Development & Operations (NEC)",China (Mainland),6799,Clean Transport,False,2018-04-04
Wuhan Metro Group Co Ltd,WHGVTS,5.98,,2018-12-05,XS1908374322,CN190837432=,US Dollar,Eurobond Market,Corporate,Capital Security,Fixed Resettable,400000000,Investment Grade,Yes,Transportation - Other,Commuting Services,China (Mainland),4789,Eligible Green Projects,False,2018-11-28
Engie SA,ENGIE,3.25,,2019-01-28,FR0013398229,FR0013398229=,Euro,France,Corporate,Capital Security,Fixed Resettable,1181697863,Investment Grade,Yes,Oil and Gas,Multiline Utilities,France,4925,Eligible Green Projects,True,2019-01-17
CGN Wind Energy Ltd,SASABZ,5.47,,2018-06-04,CND100017CK6,CN131800012=,Chinese Yuan,China (Mainland),Corporate,Note,Fixed Resettable,146412884,,Yes,Utility - Other,Electric Utilities (NEC),China (Mainland),4911,Alternative Energy,False,2018-05-24
China Development Bank,CNDBK,4.19,2020-09-15 00:00:00,2017-09-12,CND10000J7Q8,CN1702003=,Chinese Yuan,China (Mainland),Agency,Bond,Plain Vanilla Fixed Coupon,1464128843,,Yes,Agency,Corporate Banks,China (Mainland),6021,Eligible Green Projects,False,2017-09-12
Industrial and Commercial Bank of China Ltd (Hong Kong Branch),ICBAFH,3.1,2020-09-16 00:00:00,2019-09-16,HK0000525334,CN205217487=,Chinese Yuan,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,146412884,Investment Grade,Yes,Banking,Banks (NEC),Hong Kong,6081,Clean Transport,False,2019-09-09
Tesla Energy Operations Inc,TSLAS,3.6,2020-09-17 00:00:00,2015-09-17,US83417KDY10,83417KDY1=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Alternative Energy,False,2015-09-14
Credit Agricole Corporate and Investment Bank SA,CAGRAB,0.68,2020-09-24 00:00:00,2013-09-24,XS0970680541,FR097068054=,Japanese Yen,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,50917647,,Yes,Banking,Banks (NEC),France,6029,Alternative Energy,False,2013-09-05
Sumitomo Mitsui Trust Bank Ltd,MITBKA,0.091,2020-09-25 00:00:00,2018-09-25,XS1882030510,JP188203051=,Euro,Eurobond Market,Corporate,Note,Fixed Margin over Index,590848931,Investment Grade,Yes,Banking,Banks (NEC),Japan,6029,Eligible Green Projects,False,2018-09-18
Hanjin International Corp,KALINH,1.256,2020-09-28 00:00:00,2017-09-28,XS1687735107,KR168773510=,US Dollar,Eurobond Market,Corporate,Note,Fixed Margin over Index,300000000,Investment Grade,Yes,Lodging,Hotels & Motels,United States,7011,Eligible Green Projects,False,2017-09-26
KfW,KFW,1.79,2020-09-28 00:00:00,2017-09-28,US48245ACL35,48245ACL3=,US Dollar,United States,Agency,Note,Plain Vanilla Fixed Coupon,200000000,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Alternative Energy,False,2017-09-25
Credit Agricole Corporate and Investment Bank SA,CAGRAB,6.25,2020-09-29 00:00:00,2017-09-28,XS1566941933,FR156694193=,Brazilian Real,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,1094442,,Yes,Banking,Banks (NEC),France,6029,Clean Transport,False,2017-09-01
Tesla Energy Operations Inc,TSLAS,3.6,2020-10-01 00:00:00,2015-10-01,US83417KED63,83417KED6=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,5000000,,Yes,Utility - Other,Photovoltaic Solar Systems & Equipment,United States,4911,Working capital,False,2015-09-14
Quantum Solar Park (Semenanjung) Sdn Bhd,QUANSS,4.96,2020-10-06 00:00:00,2017-10-06,MYBVG1702910,MYSUK170291=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,6016847,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4911,,False,2017-10-04
Industrial and Commercial Bank of China Ltd (Luxembourg Branch),ICBACF,0.112,2020-10-12 00:00:00,2017-10-12,XS1691909334,CN169190933=,Euro,Eurobond Market,Corporate,Note,Fixed Margin over Index,1299867649,Investment Grade,Yes,Banking,Banks (NEC),Luxembourg,6081,Clean Transport,False,2017-09-28
